column_name,info
手麻手术排程ID,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
就诊号,"{'data_type': 'int', 'value_range': {'null_count': 8692, 'null_percentage': 43.82, 'min': 1319346.0, 'max': 187262080.0, 'mean': 153786583.68745515, 'median': 186695011.0}}"
术前评估录入日期,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
状态,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['已打印', '已访视', '暂存'], 'category_count': 3}}"
访视类型,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['住院', '内镜', '日间'], 'category_count': 3}}"
手术排程日期,"{'data_type': 'date', 'value_range': {'null_count': 8640, 'null_percentage': 43.56, 'min_date': '2020-09-15', 'max_date': '2024-09-30', 'date_range_days': 1476, 'date_format': 'YYYY-MM-DD HH:MM:SS'}}"
手术开始日期,"{'data_type': 'date', 'value_range': {'null_count': 11186, 'null_percentage': 56.39, 'min_date': '2024-07-10', 'max_date': '2024-10-01', 'date_range_days': 82, 'date_format': 'YYYY-MM-DD HH:MM:SS'}}"
手术结束日期,"{'data_type': 'date', 'value_range': {'null_count': 11186, 'null_percentage': 56.39, 'min_date': '2024-07-10', 'max_date': '2024-10-01', 'date_range_days': 82, 'date_format': 'YYYY-MM-DD HH:MM:SS'}}"
麻醉开始日期,"{'data_type': 'date', 'value_range': {'null_count': 11178, 'null_percentage': 56.35, 'min_date': '2024-07-10', 'max_date': '2024-10-01', 'date_range_days': 82, 'date_format': 'YYYY-MM-DD HH:MM:SS'}}"
麻醉结束日期,"{'data_type': 'date', 'value_range': {'null_count': 11168, 'null_percentage': 56.3, 'min_date': '2024-07-10', 'max_date': '2024-10-01', 'date_range_days': 82, 'date_format': 'YYYY-MM-DD HH:MM:SS'}}"
head_p_name,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
head_sex,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2, 9], 'category_count': 3}}"
head_birthday,"{'data_type': 'date', 'value_range': {'null_count': 32, 'null_percentage': 0.16, 'min_date': '1927-01-01', 'max_date': '2024-09-10', 'date_range_days': 35682, 'date_format': 'YYYY-MM-DD'}}"
head_age,"{'data_type': 'text', 'value_range': {'null_count': 91, 'null_percentage': 0.46, 'description': 'not applicable'}}"
head_heigth,"{'data_type': 'float', 'value_range': {'null_count': 538, 'null_percentage': 2.71, 'min': 0.0, 'max': 193.0, 'mean': 159.41434863716447, 'median': 162.0}}"
head_weigth,"{'data_type': 'float', 'value_range': {'null_count': 346, 'null_percentage': 1.74, 'min': 1.0, 'max': 157.0, 'mean': 58.837436634171375, 'median': 60.0}}"
head_bn,"{'data_type': 'text', 'value_range': {'null_count': 8695, 'null_percentage': 43.83, 'description': 'not applicable'}}"
head_dm,"{'data_type': 'text', 'value_range': {'null_count': 35, 'null_percentage': 0.18, 'description': 'not applicable'}}"
